LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHL,INTERNET,TOT,PC_HH,A,2020,NaN,
NLD,INTERNET,TOT,PC_HH,A,2011,93.6366,
NLD,INTERNET,TOT,PC_HH,A,2012,93.5476,
NLD,INTERNET,TOT,PC_HH,A,2013,94.6336,
NLD,INTERNET,TOT,PC_HH,A,2014,95.7808,
NLD,INTERNET,TOT,PC_HH,A,2015,95.966,
NLD,INTERNET,TOT,PC_HH,A,2016,96.6602,
NLD,INTERNET,TOT,PC_HH,A,2017,98.2309,
NLD,INTERNET,TOT,PC_HH,A,2018,97.9994,
NLD,INTERNET,TOT,PC_HH,A,2019,98.405,
NLD,INTERNET,TOT,PC_HH,A,2020,96.9534,
POL,INTERNET,TOT,PC_HH,A,2011,66.6376,
POL,INTERNET,TOT,PC_HH,A,2012,70.4944,
POL,INTERNET,TOT,PC_HH,A,2013,71.8962,
POL,INTERNET,TOT,PC_HH,A,2014,74.7601,
POL,INTERNET,TOT,PC_HH,A,2015,75.7829,
POL,INTERNET,TOT,PC_HH,A,2016,80.4457,
POL,INTERNET,TOT,PC_HH,A,2017,81.878,
POL,INTERNET,TOT,PC_HH,A,2018,84.1884,
POL,INTERNET,TOT,PC_HH,A,2019,86.75,
POL,INTERNET,TOT,PC_HH,A,2020,90.3839,
ESP,INTERNET,TOT,PC_HH,A,2011,62.7077,
ESP,INTERNET,TOT,PC_HH,A,2012,66.5907,
ESP,INTERNET,TOT,PC_HH,A,2013,69.7292,
ESP,INTERNET,TOT,PC_HH,A,2014,74.3549,
ESP,INTERNET,TOT,PC_HH,A,2015,78.7489,
ESP,INTERNET,TOT,PC_HH,A,2016,81.9309,
ESP,INTERNET,TOT,PC_HH,A,2017,83.3862,
ESP,INTERNET,TOT,PC_HH,A,2018,86.3576,
ESP,INTERNET,TOT,PC_HH,A,2019,91.4376,
ESP,INTERNET,TOT,PC_HH,A,2020,95.3775,
TUR,INTERNET,TOT,PC_HH,A,2011,NaN,
TUR,INTERNET,TOT,PC_HH,A,2012,47.1976,
TUR,INTERNET,TOT,PC_HH,A,2013,49.084,
TUR,INTERNET,TOT,PC_HH,A,2014,60.236,
TUR,INTERNET,TOT,PC_HH,A,2015,69.5445,
TUR,INTERNET,TOT,PC_HH,A,2016,76.3445,
TUR,INTERNET,TOT,PC_HH,A,2017,80.7429,
TUR,INTERNET,TOT,PC_HH,A,2018,83.7909,
TUR,INTERNET,TOT,PC_HH,A,2019,88.2995,
TUR,INTERNET,TOT,PC_HH,A,2020,90.7316,
FIN,INTERNET,TOT,PC_HH,A,2011,84.1569,
FIN,INTERNET,TOT,PC_HH,A,2012,86.7993,
FIN,INTERNET,TOT,PC_HH,A,2013,89.2364,
FIN,INTERNET,TOT,PC_HH,A,2014,89.8264,
FIN,INTERNET,TOT,PC_HH,A,2015,89.9316,
FIN,INTERNET,TOT,PC_HH,A,2016,91.949,
FIN,INTERNET,TOT,PC_HH,A,2017,94.4197,
FIN,INTERNET,TOT,PC_HH,A,2018,94.2783,
FIN,INTERNET,TOT,PC_HH,A,2019,94.3613,
FIN,INTERNET,TOT,PC_HH,A,2020,95.9986,
GRC,INTERNET,TOT,PC_HH,A,2011,50.1668,
GRC,INTERNET,TOT,PC_HH,A,2012,53.5817,
GRC,INTERNET,TOT,PC_HH,A,2013,56.3126,
GRC,INTERNET,TOT,PC_HH,A,2014,65.5507,
GRC,INTERNET,TOT,PC_HH,A,2015,68.0909,
GRC,INTERNET,TOT,PC_HH,A,2016,69.1262,
GRC,INTERNET,TOT,PC_HH,A,2017,70.9576,
GRC,INTERNET,TOT,PC_HH,A,2018,76.4933,
GRC,INTERNET,TOT,PC_HH,A,2019,78.5402,
GRC,INTERNET,TOT,PC_HH,A,2020,80.3816,
IRL,INTERNET,TOT,PC_HH,A,2011,78.1195,
IRL,INTERNET,TOT,PC_HH,A,2012,81.0867,
